Stn Id,Station,Region,Date,Hour,Jul,qc,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vapor Pressure (mBars),qc,Air Temp (°F),qc,Rel Hum (%),qc,Dew Point (°F),qc,Wind Speed (MPH),qc,Wind Dir (0-360),qc,Soil Temp (°F)
0131,Fair Oaks,Sacramento Valley,10/01/2010,0100,274,*,    0.00,*,    0.00,*,    0,*,   13.1,*,   65.7,*,  61,*,   51.7,*,    4.4,*,  167.0,*,   70.0
0131,Fair Oaks,Sacramento Valley,10/01/2010,0200,274,*,    0.00,*,    0.00,*,    0,*,   13.7,*,   63.3,*,  69,*,   52.9,*,    3.8,*,  158.4,*,   69.6
0131,Fair Oaks,Sacramento Valley,10/01/2010,0300,274,*,    0.00,*,    0.00,*,    0,*,   13.8,*,   61.9,*,  73,*,   53.2,*,    3.7,*,  160.3,*,   69.2
0131,Fair Oaks,Sacramento Valley,10/01/2010,0400,274,*,    0.00,*,    0.00,*,    0,*,   14.1,*,   60.3,*,  79,*,   53.7,*,    4.1,*,  160.8,*,   68.9
0131,Fair Oaks,Sacramento Valley,10/01/2010,0500,274,*,    0.00,*,    0.00,*,    0,*,   14.3,*,   59.0,*,  84,*,   54.1,*,    4.4,*,  152.8,*,   68.6
0131,Fair Oaks,Sacramento Valley,10/01/2010,0600,274,*,    0.00,*,    0.00,*,    1,*,   14.1,*,   57.8,*,  86,*,   53.7,*,    3.7,*,  151.6,*,   68.3
0131,Fair Oaks,Sacramento Valley,10/01/2010,0700,274,*,    0.00,*,    0.00,*,  117,*,   14.0,*,   57.9,*,  86,*,   53.6,*,    3.9,*,  154.8,*,   68.1
0131,Fair Oaks,Sacramento Valley,10/01/2010,0800,274,*,    0.00,*,    0.00,*,  508,*,   14.9,*,   60.8,*,  82,*,   55.2,*,    4.7,*,  154.3,*,   67.8
0131,Fair Oaks,Sacramento Valley,10/01/2010,0900,274,*,    0.01,*,    0.00,*,  880,*,   15.4,*,   64.7,*,  74,*,   56.2,*,    4.4,*,  156.3,*,   67.7
0131,Fair Oaks,Sacramento Valley,10/01/2010,1000,274,*,    0.01,*,    0.00,*, 1200,*,   15.8,*,   68.6,*,  66,*,   56.9,*,    4.5,*,  173.5,*,   67.7
